,ad,f_assured,seller,name,price,slashed_price,discount_perc,link
10,0,1,Magnolia,Canvas Shoes For Men,399,999,60,https://www.flipkart.com/magnolia-canvas-shoes-men/p/itmb42a681797f2d?pid=SHOGYADEDZZB5J9D&lid=LSTSHOGYADEDZZB5J9DXKDWJF&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_11&otracker=search&fm=organic&iid=1b63244f-acc2-46bd-8926-fe2ee4ebf5eb.SHOGYADEDZZB5J9D.SEARCH&ppt=None&ppn=None&ssid=kxc5kzujrk0000001652359927095&qH=b0a8b6f820479900
11,0,1,BRUTON,Fit-Man Slip On Sneakers For Men,199,1299,84,https://www.flipkart.com/bruton-fit-man-slip-sneakers-men/p/itmf6yvkvpnhedgt?pid=SHOF27FJYU7RVDZ4&lid=LSTSHOF27FJYU7RVDZ4ZAPIG6&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_12&otracker=search&fm=organic&iid=1b63244f-acc2-46bd-8926-fe2ee4ebf5eb.SHOF27FJYU7RVDZ4.SEARCH&ppt=None&ppn=None&ssid=kxc5kzujrk0000001652359927095&qH=b0a8b6f820479900
12,0,1,BIRDE,"Stylish Comfortable Lightweight, Breathable Walking Sho...",351,999,64,https://www.flipkart.com/birde-stylish-comfortable-lightweight-breathable-walking-shoes-men-sneakers/p/itm74363ec7f03e3?pid=SHOGCA8F7ZGKAP6T&lid=LSTSHOGCA8F7ZGKAP6T2A7ITS&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_13&otracker=search&fm=organic&iid=1b63244f-acc2-46bd-8926-fe2ee4ebf5eb.SHOGCA8F7ZGKAP6T.SEARCH&ppt=None&ppn=None&ssid=kxc5kzujrk0000001652359927095&qH=b0a8b6f820479900
13,0,1,PUMA,Hustle V2 Wns Running Shoes For Women,1422,3999,64,https://www.flipkart.com/puma-hustle-v2-wns-running-shoes-women/p/itmd39005230fde5?pid=SHOG5HFRRSZHCGNN&lid=LSTSHOG5HFRRSZHCGNNYMW5TR&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_14&otracker=search&fm=organic&iid=1b63244f-acc2-46bd-8926-fe2ee4ebf5eb.SHOG5HFRRSZHCGNN.SEARCH&ppt=None&ppn=None&ssid=kxc5kzujrk0000001652359927095&qH=b0a8b6f820479900
14,0,1,asics,UPCOURT 4 Badminton Shoes For Men,2727,4499,39,https://www.flipkart.com/asics-upcourt-4-badminton-shoes-men/p/itm85ca4ed102d1c?pid=SHOFT8Q46TQGAFQ5&lid=LSTSHOFT8Q46TQGAFQ5EXEU3D&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_15&otracker=search&fm=organic&iid=1b63244f-acc2-46bd-8926-fe2ee4ebf5eb.SHOFT8Q46TQGAFQ5.SEARCH&ppt=None&ppn=None&ssid=kxc5kzujrk0000001652359927095&qH=b0a8b6f820479900
15,0,1,ASIAN,Bouncer-01 Running shoes for boys | sports shoes for me...,499,999,50,https://www.flipkart.com/asian-bouncer-01-running-shoes-boys-sports-men-latest-stylish-casual-sneakers-lace-up-lightweight-grey-running-walking-gym-trekking-hiking-party/p/itmeadf4da186692?pid=SHOFV3H77WS6UEFH&lid=LSTSHOFV3H77WS6UEFHP8VHVU&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_16&otracker=search&fm=organic&iid=1b63244f-acc2-46bd-8926-fe2ee4ebf5eb.SHOFV3H77WS6UEFH.SEARCH&ppt=None&ppn=None&ssid=kxc5kzujrk0000001652359927095&qH=b0a8b6f820479900
16,0,1,RED TAPE,Walking Shoes For Men,1209,4899,75,https://www.flipkart.com/red-tape-walking-shoes-men/p/itm4971a7125e77c?pid=SHOG68ES5F9VQTXC&lid=LSTSHOG68ES5F9VQTXC1WAIHO&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_17&otracker=search&fm=organic&iid=1b63244f-acc2-46bd-8926-fe2ee4ebf5eb.SHOG68ES5F9VQTXC.SEARCH&ppt=None&ppn=None&ssid=kxc5kzujrk0000001652359927095&qH=b0a8b6f820479900
17,0,1,ASIAN,Future-01 running shoes For Men,486,649,25,https://www.flipkart.com/asian-future-01-running-shoes-men/p/itmf3xv7anhcngg8?pid=SHOEEBH7X2RHVMYF&lid=LSTSHOEEBH7X2RHVMYFD0U96T&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_18&otracker=search&fm=organic&iid=1b63244f-acc2-46bd-8926-fe2ee4ebf5eb.SHOEEBH7X2RHVMYF.SEARCH&ppt=None&ppn=None&ssid=kxc5kzujrk0000001652359927095&qH=b0a8b6f820479900
18,0,1,ADIDAS,Runesy M Running Shoes For Men,2159,3999,46,https://www.flipkart.com/adidas-runesy-m-running-shoes-men/p/itm4ba01e1c380ea?pid=SHOG4YNBENZQBNQX&lid=LSTSHOG4YNBENZQBNQXMHYHZZ&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_19&otracker=search&fm=organic&iid=1b63244f-acc2-46bd-8926-fe2ee4ebf5eb.SHOG4YNBENZQBNQX.SEARCH&ppt=None&ppn=None&ssid=kxc5kzujrk0000001652359927095&qH=b0a8b6f820479900
19,0,1,CAMPUS,MAGNITE Running Shoes For Men,809,1299,37,https://www.flipkart.com/campus-magnite-running-shoes-men/p/itm411596870bac2?pid=SHOG6BNZ2MVFFWRZ&lid=LSTSHOG6BNZ2MVFFWRZ8CDVQ5&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_20&otracker=search&fm=organic&iid=1b63244f-acc2-46bd-8926-fe2ee4ebf5eb.SHOG6BNZ2MVFFWRZ.SEARCH&ppt=None&ppn=None&ssid=kxc5kzujrk0000001652359927095&qH=b0a8b6f820479900
